variable,run_name,split,lambda_option,job_id,out_path
0.8,SCoNE,train,1.0,54,/gpfs/commons/groups/gursoy_lab/anewbury/unsupervised_pheno/output/models/rho_train_54
0.8,SCoNE,train,10.0,55,/gpfs/commons/groups/gursoy_lab/anewbury/unsupervised_pheno/output/models/rho_train_55
0.9,SCoNE,train,0.0,56,/gpfs/commons/groups/gursoy_lab/anewbury/unsupervised_pheno/output/models/rho_train_56
0.9,SCoNE,train,0.0001,57,/gpfs/commons/groups/gursoy_lab/anewbury/unsupervised_pheno/output/models/rho_train_57
0.9,SCoNE,train,0.001,58,/gpfs/commons/groups/gursoy_lab/anewbury/unsupervised_pheno/output/models/rho_train_58
0.9,SCoNE,train,0.01,59,/gpfs/commons/groups/gursoy_lab/anewbury/unsupervised_pheno/output/models/rho_train_59
0.9,SCoNE,train,0.1,60,/gpfs/commons/groups/gursoy_lab/anewbury/unsupervised_pheno/output/models/rho_train_60
0.9,SCoNE,train,1.0,61,/gpfs/commons/groups/gursoy_lab/anewbury/unsupervised_pheno/output/models/rho_train_61
0.9,SCoNE,train,10.0,62,/gpfs/commons/groups/gursoy_lab/anewbury/unsupervised_pheno/output/models/rho_train_62
1.0,SCoNE,train,0.0,63,/gpfs/commons/groups/gursoy_lab/anewbury/unsupervised_pheno/output/models/rho_train_63
1.0,SCoNE,train,0.0001,64,/gpfs/commons/groups/gursoy_lab/anewbury/unsupervised_pheno/output/models/rho_train_64
1.0,SCoNE,train,0.001,65,/gpfs/commons/groups/gursoy_lab/anewbury/unsupervised_pheno/output/models/rho_train_65
1.0,SCoNE,train,0.01,66,/gpfs/commons/groups/gursoy_lab/anewbury/unsupervised_pheno/output/models/rho_train_66
1.0,SCoNE,train,0.1,67,/gpfs/commons/groups/gursoy_lab/anewbury/unsupervised_pheno/output/models/rho_train_67
1.0,SCoNE,train,1.0,68,/gpfs/commons/groups/gursoy_lab/anewbury/unsupervised_pheno/output/models/rho_train_68
1.0,SCoNE,train,10.0,69,/gpfs/commons/groups/gursoy_lab/anewbury/unsupervised_pheno/output/models/rho_train_69
