,run_name,factor_matrix,init,sim,rel_error_G,rel_error_C,sparsity,lambda_val,split,rank,job_id
272,SCoNE,H_G,45,0.6772757186720689,0.7500883285898672,0.7616474707386299,0.75,10.0,train,3,27
273,SCoNE,U_G,45,0.9189019962990935,0.7500883285898672,0.7616474707386299,0.75,10.0,train,3,27
274,SCoNE,H_C,45,0.5735031859022633,0.7500883285898672,0.7616474707386299,0.75,10.0,train,3,27
275,SCoNE,U_C,45,0.9392983090244165,0.7500883285898672,0.7616474707386299,0.75,10.0,train,3,27
276,SCoNE,W_C,46,0.5034978388247354,0.758043089329497,0.7616204903265217,0.75,10.0,train,3,27
277,SCoNE,W_G,46,0.557589872324381,0.758043089329497,0.7616204903265217,0.75,10.0,train,3,27
278,SCoNE,H_G,46,0.6210696125328788,0.758043089329497,0.7616204903265217,0.75,10.0,train,3,27
279,SCoNE,U_G,46,0.9031368851238182,0.758043089329497,0.7616204903265217,0.75,10.0,train,3,27
280,SCoNE,H_C,46,0.3433442707637499,0.758043089329497,0.7616204903265217,0.75,10.0,train,3,27
281,SCoNE,U_C,46,0.868692053937193,0.758043089329497,0.7616204903265217,0.75,10.0,train,3,27
282,SCoNE,W_C,47,0.5336949758599118,0.7171572392369734,0.7959713301600845,0.75,10.0,train,3,27
283,SCoNE,W_G,47,0.6200156891102011,0.7171572392369734,0.7959713301600845,0.75,10.0,train,3,27
284,SCoNE,H_G,47,0.6530624552928868,0.7171572392369734,0.7959713301600845,0.75,10.0,train,3,27
285,SCoNE,U_G,47,0.8621231080610833,0.7171572392369734,0.7959713301600845,0.75,10.0,train,3,27
286,SCoNE,H_C,47,0.41806324896541164,0.7171572392369734,0.7959713301600845,0.75,10.0,train,3,27
287,SCoNE,U_C,47,0.924700735757982,0.7171572392369734,0.7959713301600845,0.75,10.0,train,3,27
288,SCoNE,W_C,48,0.4723757538848753,0.7392028072418594,0.7864014130503321,0.75,10.0,train,3,27
289,SCoNE,W_G,48,0.559928275791634,0.7392028072418594,0.7864014130503321,0.75,10.0,train,3,27
290,SCoNE,H_G,48,0.45892454814193123,0.7392028072418594,0.7864014130503321,0.75,10.0,train,3,27
291,SCoNE,U_G,48,0.9066308024510005,0.7392028072418594,0.7864014130503321,0.75,10.0,train,3,27
292,SCoNE,H_C,48,0.27697434951158145,0.7392028072418594,0.7864014130503321,0.75,10.0,train,3,27
293,SCoNE,U_C,48,0.9208783737110344,0.7392028072418594,0.7864014130503321,0.75,10.0,train,3,27
294,SCoNE,W_C,49,0.5210452449340874,0.7633000592862331,0.7707596980228528,0.75,10.0,train,3,27
295,SCoNE,W_G,49,0.5656764932052908,0.7633000592862331,0.7707596980228528,0.75,10.0,train,3,27
296,SCoNE,H_G,49,0.5519056609718773,0.7633000592862331,0.7707596980228528,0.75,10.0,train,3,27
297,SCoNE,U_G,49,0.901176445099483,0.7633000592862331,0.7707596980228528,0.75,10.0,train,3,27
298,SCoNE,H_C,49,0.4053041413456713,0.7633000592862331,0.7707596980228528,0.75,10.0,train,3,27
299,SCoNE,U_C,49,0.9103813025173297,0.7633000592862331,0.7707596980228528,0.75,10.0,train,3,27
0,SCoNE,W_C,0,0.6782187197125134,0.654406420263974,0.6937667147057112,0.75,0.0,train,3,21
1,SCoNE,W_G,0,0.7293432220212026,0.654406420263974,0.6937667147057112,0.75,0.0,train,3,21
2,SCoNE,H_G,0,0.861926727697914,0.654406420263974,0.6937667147057112,0.75,0.0,train,3,21
3,SCoNE,U_G,0,0.9137359756228789,0.654406420263974,0.6937667147057112,0.75,0.0,train,3,21
4,SCoNE,H_C,0,0.8695607579722666,0.654406420263974,0.6937667147057112,0.75,0.0,train,3,21
5,SCoNE,U_C,0,0.9005694203466776,0.654406420263974,0.6937667147057112,0.75,0.0,train,3,21
6,SCoNE,W_C,1,0.6143004494015777,0.6568832698040442,0.7012228406232787,0.75,0.0,train,3,21
7,SCoNE,W_G,1,0.678463927609685,0.6568832698040442,0.7012228406232787,0.75,0.0,train,3,21
8,SCoNE,H_G,1,0.8831491610512657,0.6568832698040442,0.7012228406232787,0.75,0.0,train,3,21
9,SCoNE,U_G,1,0.9702230742506521,0.6568832698040442,0.7012228406232787,0.75,0.0,train,3,21
10,SCoNE,H_C,1,0.7948981798686695,0.6568832698040442,0.7012228406232787,0.75,0.0,train,3,21
11,SCoNE,U_C,1,0.9290295546911438,0.6568832698040442,0.7012228406232787,0.75,0.0,train,3,21
12,SCoNE,W_C,2,0.6622015331172415,0.6565532681276391,0.6934024956762913,0.75,0.0,train,3,21
13,SCoNE,W_G,2,0.7252518419749558,0.6565532681276391,0.6934024956762913,0.75,0.0,train,3,21
14,SCoNE,H_G,2,0.8679771751837881,0.6565532681276391,0.6934024956762913,0.75,0.0,train,3,21
15,SCoNE,U_G,2,0.8857601712764753,0.6565532681276391,0.6934024956762913,0.75,0.0,train,3,21
16,SCoNE,H_C,2,0.8376590073738073,0.6565532681276391,0.6934024956762913,0.75,0.0,train,3,21
17,SCoNE,U_C,2,0.9083702609218977,0.6565532681276391,0.6934024956762913,0.75,0.0,train,3,21
18,SCoNE,W_C,3,0.6110317242068972,0.6668996334801265,0.6864040856081997,0.75,0.0,train,3,21
19,SCoNE,W_G,3,0.6800543147488716,0.6668996334801265,0.6864040856081997,0.75,0.0,train,3,21
20,SCoNE,H_G,3,0.8471387255205428,0.6668996334801265,0.6864040856081997,0.75,0.0,train,3,21
21,SCoNE,U_G,3,0.9749727427090621,0.6668996334801265,0.6864040856081997,0.75,0.0,train,3,21
22,SCoNE,H_C,3,0.7671497053480139,0.6668996334801265,0.6864040856081997,0.75,0.0,train,3,21
23,SCoNE,U_C,3,0.8820185409562443,0.6668996334801265,0.6864040856081997,0.75,0.0,train,3,21
24,SCoNE,W_C,4,0.6337144901477583,0.6412509378482476,0.7112086771018541,0.75,0.0,train,3,21
25,SCoNE,W_G,4,0.7078155330110412,0.6412509378482476,0.7112086771018541,0.75,0.0,train,3,21
26,SCoNE,H_G,4,0.9035868274339044,0.6412509378482476,0.7112086771018541,0.75,0.0,train,3,21
27,SCoNE,U_G,4,0.9108056651354836,0.6412509378482476,0.7112086771018541,0.75,0.0,train,3,21
28,SCoNE,H_C,4,0.783447139949273,0.6412509378482476,0.7112086771018541,0.75,0.0,train,3,21
29,SCoNE,U_C,4,0.9292995214675258,0.6412509378482476,0.7112086771018541,0.75,0.0,train,3,21
30,SCoNE,W_C,5,0.6269472899796505,0.6612869153137307,0.6879423919072968,0.75,0.0,train,3,21
31,SCoNE,W_G,5,0.7036022220701373,0.6612869153137307,0.6879423919072968,0.75,0.0,train,3,21
