,run_name,factor_matrix,init,sim,rel_error_G,rel_error_C,ZU_weight,lambda_val,split,rank,job_id
69,SCoNE,U_G,11,0.872261137461453,0.816278662006106,0.6944228060408312,0.75,10.0,train,3,20
70,SCoNE,H_C,11,0.6404325273595809,0.816278662006106,0.6944228060408312,0.75,10.0,train,3,20
71,SCoNE,U_C,11,0.928737699595097,0.816278662006106,0.6944228060408312,0.75,10.0,train,3,20
72,SCoNE,W_C,12,0.7147974391779656,0.8112566019128836,0.6898475950594577,0.75,10.0,train,3,20
73,SCoNE,W_G,12,0.7405865358919411,0.8112566019128836,0.6898475950594577,0.75,10.0,train,3,20
74,SCoNE,H_G,12,0.497383095892786,0.8112566019128836,0.6898475950594577,0.75,10.0,train,3,20
75,SCoNE,U_G,12,0.8610135636382343,0.8112566019128836,0.6898475950594577,0.75,10.0,train,3,20
76,SCoNE,H_C,12,0.5754569371459075,0.8112566019128836,0.6898475950594577,0.75,10.0,train,3,20
77,SCoNE,U_C,12,0.9000397466539704,0.8112566019128836,0.6898475950594577,0.75,10.0,train,3,20
78,SCoNE,W_C,13,0.6814930052945986,0.7981543904752355,0.7004316851354739,0.75,10.0,train,3,20
79,SCoNE,W_G,13,0.7441076060632954,0.7981543904752355,0.7004316851354739,0.75,10.0,train,3,20
80,SCoNE,H_G,13,0.5297220291708117,0.7981543904752355,0.7004316851354739,0.75,10.0,train,3,20
81,SCoNE,U_G,13,0.8603415520539773,0.7981543904752355,0.7004316851354739,0.75,10.0,train,3,20
82,SCoNE,H_C,13,0.6748558669146707,0.7981543904752355,0.7004316851354739,0.75,10.0,train,3,20
83,SCoNE,U_C,13,0.9217670433936989,0.7981543904752355,0.7004316851354739,0.75,10.0,train,3,20
84,SCoNE,W_C,14,0.6714802729407514,0.8185160793737227,0.7005430378633717,0.75,10.0,train,3,20
85,SCoNE,W_G,14,0.7091832374411265,0.8185160793737227,0.7005430378633717,0.75,10.0,train,3,20
86,SCoNE,H_G,14,0.41412113329685335,0.8185160793737227,0.7005430378633717,0.75,10.0,train,3,20
87,SCoNE,U_G,14,0.8604529978296568,0.8185160793737227,0.7005430378633717,0.75,10.0,train,3,20
88,SCoNE,H_C,14,0.6064435761028897,0.8185160793737227,0.7005430378633717,0.75,10.0,train,3,20
89,SCoNE,U_C,14,0.9168509859467261,0.8185160793737227,0.7005430378633717,0.75,10.0,train,3,20
90,SCoNE,W_C,15,0.5905593399112633,0.8134283353814348,0.693316831616904,0.75,10.0,train,3,20
91,SCoNE,W_G,15,0.6344713077493325,0.8134283353814348,0.693316831616904,0.75,10.0,train,3,20
