,ari,sim_W,sim_W_null,tuning_metric,run,split,sim_id,job_id,sim_H_G,sim_H_G_null,sim_U_G,sim_U_G_null,sim_H_C,sim_H_C_null,sim_U_C,sim_U_C_null,rel_error_G,rel_error_C,coph_corr,run_name,lambda_option,rGC,out_path
3515,0.5292611334118792,0.7997816202180199,0.4183622081072143,1.0313948913215474,5,train,1,21,0.6927843442621273,0.3645442740502164,0.9715734802194305,0.3773351124375212,0.9221236560889137,0.32677533460521674,0.9797037279356052,0.2699299701054739,0.43248076758003107,0.5989141237415163,0.9287460931989207,SCoNE,0.01,0.2,/home/jupyter/repos/SCoNE/output/models/rGC/train_21
3516,0.3185659097343583,0.6619215008481975,0.4413888238785673,1.0395768851187612,6,train,1,21,0.501683243294204,0.35114828258471564,0.9344264020105434,0.35416295648909185,0.7103601610057284,0.2920772258197498,0.9575735754547198,0.2670005379374577,0.4415288944133282,0.598047990705433,0.9287460931989207,SCoNE,0.01,0.2,/home/jupyter/repos/SCoNE/output/models/rGC/train_21
3517,0.5657976725297026,0.8116625706983137,0.4138114327757416,1.0310651694720916,7,train,1,21,0.6298175956420446,0.35217473333714994,0.9631783665743968,0.3629318208929287,0.8955784911764872,0.36262081561145787,0.9719764925574623,0.26866970933352957,0.43446744172028634,0.5965977277518052,0.9287460931989207,SCoNE,0.01,0.2,/home/jupyter/repos/SCoNE/output/models/rGC/train_21
3518,0.48723975174033507,0.7840878873632943,0.42361630609768564,1.0334404241340502,8,train,1,21,0.5983279568780795,0.32255200812893103,0.9600457038641771,0.38783342080919747,0.8914916930676887,0.3266024762169263,0.9743371727830858,0.2756532589826028,0.4359432731805868,0.5974971509534635,0.9287460931989207,SCoNE,0.01,0.2,/home/jupyter/repos/SCoNE/output/models/rGC/train_21
3519,0.5362898269419641,0.8068752477666272,0.4241263948901375,1.028827655491606,9,train,1,21,0.6471466931174569,0.3548807988764638,0.9597260471999711,0.365619717349283,0.8929112290734622,0.340271082695713,0.9668775729999979,0.27054866563277924,0.44171300470335917,0.5871146507882469,0.9287460931989207,SCoNE,0.01,0.2,/home/jupyter/repos/SCoNE/output/models/rGC/train_21
3520,0.4022580321945126,0.6997384595182041,0.42359631120522734,1.0482055150642149,10,train,1,21,0.46811434014344583,0.3377535894822799,0.967001802640996,0.3515805902588138,0.8056217011565739,0.3434781560386262,0.9325992044502075,0.2748519366850639,0.43904420356093005,0.6091613115032848,0.9287460931989207,SCoNE,0.01,0.2,/home/jupyter/repos/SCoNE/output/models/rGC/train_21
3521,0.5501710139329102,0.8120804084308116,0.4160179632645525,1.0301803731941348,11,train,1,21,0.6310925078008871,0.35125848854817704,0.9500928398548774,0.35408589178506666,0.9075851304365382,0.3657961736817689,0.9716954580746682,0.2504499757662671,0.4346212416049569,0.5955591315891778,0.9287460931989207,SCoNE,0.01,0.2,/home/jupyter/repos/SCoNE/output/models/rGC/train_21
3522,0.36359941857339717,0.7036833757343486,0.44182740755580757,1.0409103184786652,12,train,1,21,0.5195693935651472,0.3513067740781503,0.9150092948290288,0.3803958514509531,0.8042052821597828,0.3453205114184965,0.9670335290083214,0.28330956056897255,0.4315358074303211,0.6093745110483441,0.9287460931989207,SCoNE,0.01,0.2,/home/jupyter/repos/SCoNE/output/models/rGC/train_21
3523,0.3404779486127266,0.6604567259352783,0.43488465535050475,1.045426183215528,13,train,1,21,0.429124300025713,0.33744735941168,0.950681842111956,0.377628061059892,0.7191672448639583,0.31129778372389905,0.9321952636297044,0.283321494292767,0.4428511966865662,0.6025749865289618,0.9287460931989207,SCoNE,0.01,0.2,/home/jupyter/repos/SCoNE/output/models/rGC/train_21
3524,0.4649012576540137,0.7782908362543466,0.4299440557023129,1.032372278772888,14,train,1,21,0.6719303118247594,0.3427789740385847,0.9744805702028158,0.36154501292248775,0.861261454170933,0.31763680662160515,0.968928839986759,0.2973506522121987,0.44105446684480504,0.5913178119280829,0.9287460931989207,SCoNE,0.01,0.2,/home/jupyter/repos/SCoNE/output/models/rGC/train_21
