,ari,sim_W,sim_W_null,tuning_metric,run,split,sim_id,job_id,sim_H_G,sim_H_G_null,sim_U_G,sim_U_G_null,sim_H_C,sim_H_C_null,sim_U_C,sim_U_C_null,rel_error_G,rel_error_C,coph_corr,run_name,lambda_option,signed_cov_effects,out_path
144,0.002043697297545494,0.22404866890167033,0.16599238489858104,1.1821363127673008,34,tune,0,9,0.3501768103067296,0.16152937775634033,0.43474485957212994,0.06953946533487806,0.0,0.10632373873957424,0.5082921607659238,-0.05382811890385817,0.8973697907538184,0.2847665220134823,0.743652115494673,SCoNE,0.01,True,/home/jupyter/repos/SCoNE/output/models/signed_cov_effects/tune_9
145,0.0018094063817629955,0.3477769047869906,0.33641219245431286,1.7021305152539048,35,tune,0,9,0.006279308237314969,0.09810461984513864,0.44266577637986304,0.07394032912006492,0.0020022077085034306,0.06335520173033524,0.4709266923938356,-0.06916361836619427,1.3167771262309467,0.38535338902295807,0.743652115494673,SCoNE,0.01,True,/home/jupyter/repos/SCoNE/output/models/signed_cov_effects/tune_9
146,-0.000378429859250829,0.04987718592964381,0.044481554687973004,2.0455749296095367,36,tune,0,9,0.06713657088938633,0.07359618032617711,0.4200520906942054,0.06282993063961739,0.04385195832206274,0.16612178071892633,0.5236170070845355,-0.10106435997616256,1.7219453245568306,0.32362960505270616,0.743652115494673,SCoNE,0.01,True,/home/jupyter/repos/SCoNE/output/models/signed_cov_effects/tune_9
147,0.08173706312182315,0.2992616483268984,0.22953462203032993,1.1330553063155517,37,tune,0,9,0.44260116914623604,0.14203982583803698,0.43277788343273693,0.07423634424802647,0.0,0.0,0.5346149114664994,-0.05630591963374453,0.8627300970736806,0.2703252092418711,0.743652115494673,SCoNE,0.01,True,/home/jupyter/repos/SCoNE/output/models/signed_cov_effects/tune_9
148,-0.0006636472546233534,0.27119441277708994,0.25922696883371094,1.2033165766254508,38,tune,0,9,0.08530345315767517,0.08859731238225681,0.46432239942984427,0.054014843738865795,0.03375044992412393,0.11212513918750341,0.5418971085826901,-0.09168199932547896,0.9425924389736707,0.26072413765178004,0.743652115494673,SCoNE,0.01,True,/home/jupyter/repos/SCoNE/output/models/signed_cov_effects/tune_9
149,0.0020747579981885587,0.2306897508315069,0.23032122839515243,1.5536001171695937,39,tune,0,9,8.10867300257796e-06,0.08084959920012372,0.4691686235965022,0.09532260059040185,0.0,0.119331702945158,0.5118912965562437,-0.057017376361474276,1.2495264505560406,0.304073666613553,0.743652115494673,SCoNE,0.01,True,/home/jupyter/repos/SCoNE/output/models/signed_cov_effects/tune_9
150,0.00010061567827440994,0.15210994561580832,0.13548453943943745,1.131613230187773,40,tune,0,9,0.049231530726600845,0.08863068953420082,0.43342652673815524,0.06492829946585259,0.0,0.07768396359720037,0.5400870273800198,-0.045159088930912715,0.8691868759945041,0.2624263541932691,0.743652115494673,SCoNE,0.01,True,/home/jupyter/repos/SCoNE/output/models/signed_cov_effects/tune_9
151,0.04234627368406213,0.09414627662348529,0.08430760434268614,1.281940226472233,41,tune,0,9,0.1808890873356428,0.29588573191156553,0.4442830555994473,0.05200431954019219,0.11039293837940574,0.13209780571062799,0.43022320611459924,-0.0691563103943078,0.8529094555767948,0.42903077089543834,0.743652115494673,SCoNE,0.01,True,/home/jupyter/repos/SCoNE/output/models/signed_cov_effects/tune_9
152,0.009086917263521004,0.08891599661764832,0.07299639759622449,1.2039982650233658,42,tune,0,9,0.01998495180898427,0.07028652654797396,0.43276983589133516,0.052343657753960146,0.0,0.049155490129661396,0.5295632359326973,-0.08327917031422481,0.9143519596513515,0.2896463053720144,0.743652115494673,SCoNE,0.01,True,/home/jupyter/repos/SCoNE/output/models/signed_cov_effects/tune_9
153,0.0014498402034739716,0.08330440847840975,0.07974004415008917,1.4508227443886437,43,tune,0,9,0.0673974295184944,0.0911809188778788,0.428669527232614,0.040839521046769175,0.0992986362549927,0.153024486212434,0.49914784792513883,-0.04956876013633397,1.1641527888698382,0.2866699555188054,0.743652115494673,SCoNE,0.01,True,/home/jupyter/repos/SCoNE/output/models/signed_cov_effects/tune_9
